ID,Domain,What it computes,Rule in plain English,COBOL as written,Program,Paragraph,Line,Driver fields,Notes
INT-11,Interest — finance charge,Which buckets accrue at all,Cash interest is calculated only when the cash balance is positive and the account is not cash-interest-free; the same test applies to retail.,IF CASH-INTR-FREE AND CASH2-INTR-FREE  NEXT SENTENCE ; ELSE IF CM-CASH-BALANCE > ZERO  PERFORM COMPUTE-CASH-INTEREST ; IF RETAIL-INTR-FREE AND RETAIL2/3-INTR-FREE  NEXT SENTENCE ; ELSE IF CM-RTL-BALANCE > ZERO  PERFORM COMPUTE-RETAIL-INTEREST,CPD110,COMPUTE-INTEREST-ACCRUAL,12226,"CASH-INTR-FREE, RETAIL-INTR-FREE","Interest-free (grace) status is per sub-bucket, not per account."
INT-12,Interest — finance charge,Whole-account interest freeze,"If the account is frozen for interest, or every bucket is interest-free, accrual is skipped entirely for the day.",IF FREEZE-INTEREST (IBC) OR (CASH-INTR-FREE AND CASH2-INTR-FREE AND ; RETAIL-INTR-FREE AND RETAIL2-INTR-FREE AND RETAIL3-INTR-FREE) ; PERFORM UPDATE-ACCT-ANTICIPATE-DATE ... GO TO PIR-XIT-1,CPD110,PROCESS-INTEREST-RATE,11618,FREEZE-INTEREST (IBC),"The accrue-through date still rolls forward, so no days are double-counted later."
INT-13,Interest — finance charge,Effective rate = base + adjustment,The rate actually applied is the product rate plus any account-level adjustment; x100 turns it into a displayable percentage.,COMPUTE WSM-CBC-RATE ROUNDED = (CM-CI-RATE-1 + CM-CI-ADJ-1) * 100 ; COMPUTE WSM-CAC-RATE ROUNDED = CM-CI-RATE-2 * 100,CPD110,INTEREST-PROCESSING,11686,"CM-CI-RATE-1..3, CM-CI-ADJ-1..3, CM-RI-RATE-1..3, CM-RI-ADJ-1..3","CI- = cash interest, RI- = retail interest. Rates are held as decimal fractions."
INT-14,Interest — finance charge,Total accrued interest on the account,All five interest buckets added together for reporting and for the available-credit reduction.,COMPUTE WS-WORK-ACCRUED-INT = CM-RTL-ACCRUED-INTR + CM-RTL2-ACCRUED-INTR ; + CM-RTL3-ACCRUED-INTR + CM-CASH-ACCRUED-INTR + CM-CASH2-ACCRUED-INTR,CPD110,CARDHOLDER-PROCESSING,5712,CM-RTL/CASH-ACCRUED-INTR,
INT-15,Interest — finance charge,Average daily balance accumulator,Balance multiplied by days is accumulated each cycle; dividing the total by the accumulated days gives the average daily balance.,COMPUTE CM-AGGR-YTD-BALANCE = CM-AGGR-YTD-BALANCE ; + ((CM-CASH-BALANCE + CM-RTL-BALANCE) * WSI-DAYS) ; ADD WSI-DAYS TO CM-AGGR-YTD-DAYS,CPD110,PROCESS-INTEREST-RATE,11615,"CM-AGGR-YTD-BALANCE, CM-AGGR-YTD-DAYS","Parallel cash-only and retail-only counters exist (CM-AGGR-CASH-DAYS, CM-AGGR-RTL-DAYS)."
INT-16,Interest — finance charge,Interest earned on a credit balance,"When the account is in credit, interest is paid to the customer: balance x credit rate x daily fraction x days. The balance is first capped at limit 3, then rate 1 or rate 2 applies depending on whether it is below limit 2.",IF WSI-AMNT > TCICB-LIMIT-3  MOVE TCICB-LIMIT-3 TO WSI-AMNT ; IF WSI-AMNT < TCICB-LIMIT-2 ; COMPUTE CM-IE-ACCRUED ROUNDED = ; WSI-AMNT * TCICB-RATE-1 * WSI-DAY-FACTOR * CM-IE-AGGR-DAYS ; ELSE ; COMPUTE CM-IE-ACCRUED ROUNDED = ; WSI-AMNT * TCICB-RATE-2 * WSI-DAY-FACTOR * CM-IE-AGGR-DAYS,CPD110,STATEMENT-PREPARATION,15489,"TCICB-RATE-1/2, TCICB-LIMIT-2/3, CM-IE-AGGR-DAYS",TCICB = interest on credit balance. The cap at limit 3 means credit interest is not paid on very large credit balances.
INT-17,Interest — finance charge,Reverse accrued interest (waiver / early settlement),An accrual already taken is subtracted back out of the bucket and out of the daily accrual record.,SUBTRACT WSI-ACCRUAL FROM CM-CASH-ACCRUED-INTR ; SUBTRACT WSI-ACCRUAL FROM CM-RTL-ACCRUED-INTR,CPD110,TRANSACTION-PROCESSING,9561,WSI-ACCRUAL,"Used when a payment back-dates into the accrual period, or interest is waived."
INT-18,Interest — finance charge,Anticipated interest net of negative anticipation,"Retail interest expected to be billed, less interest already anticipated in the other direction.",COMPUTE WSI-ACCRUAL-RTL = CM-RTL-ACCRUED-INTR - CM-RTL-NEG-ANTICI-INTR,CPD110,TRANSACTION-PROCESSING,9610,CM-RTL-NEG-ANTICI-INTR,Source comment notes negative anticipated balances became redundant from V2R1 onward.
INT-19,Interest — finance charge,Back-dated transaction interest,Interest on a single back-dated transaction: its amount x rate x daily fraction.,COMPUTE WSI-ACCRUAL ROUNDED = CMT-AMNT * WSI-RATE * WSI-DAY-FACTOR,CPD110,INTEREST-PROCESSING,14655,"CMT-AMNT, WSI-RATE",
CAF-01,Cash advance fee,Pick the fee rate row,The cash-advance fee table is searched on the transaction's source code. ATM network names map to fixed source codes.,MOVE CMT-SOURCE-CODE TO WS-SOURCE-CODE  (or CMT-ORIG-SOURCE-CODE if transferred) ; IF WS-SHORT-DESC = 'CIRRUS'  MOVE +0015 TO WS-SOURCE-CODE ; IF WS-SHORT-DESC = 'PLUS  '  MOVE +0014 TO WS-SOURCE-CODE ; SEARCH TC-CA-PER-TABLE WHEN TC-CA-PER-SRCE (ICAP) = WS-SOURCE-CODE,CPD110,CASH-ADV-PERCENT-CHARGE,28825,"TC-CA-PER-SRCE, CMT-SOURCE-CODE",No matching row means no percentage fee is raised (AT END GO TO CAPC-EXIT).
CAF-02,Cash advance fee,Single-rate fee (no band limit),"Where the table row has no limit, the fee is simply a percentage of the advance.",COMPUTE WS-CA-PERCENT-CHARGE ROUNDED = ; (CMT-AMNT * TC-CA-PER-RATE-1 (ICAP)) / 100,CPD110,CAPC-NO-LIMIT,28850,TC-CA-PER-RATE-1,"Divide by 100 because the table holds the rate as a percentage, not a fraction."
CAF-03,Cash advance fee,Banded fee — amount within the limit,"If the advance is not above the band limit, rate 1 applies to the whole amount.",IF CMT-AMNT NOT > TC-CA-PER-LIMIT (ICAP) ; COMPUTE WS-CA-PERCENT-CHARGE ROUNDED = ; (CMT-AMNT * TC-CA-PER-RATE-1 (ICAP)) / 100,CPD110,CAPC-TWO-RATES,28855,"TC-CA-PER-LIMIT, TC-CA-PER-RATE-1",
CAF-04,Cash advance fee,Banded fee — amount above the limit,"Above the limit the fee is split: rate 1 on the limit, rate 2 on the excess.",COMPUTE WS-CA-AMNT-OVER-LIMIT = CMT-AMNT - TC-CA-PER-LIMIT (ICAP) ; COMPUTE WS-CA-PERCENT-CHARGE ROUNDED = ; ((TC-CA-PER-LIMIT (ICAP) * TC-CA-PER-RATE-1 (ICAP)) ; + (WS-CA-AMNT-OVER-LIMIT * TC-CA-PER-RATE-2 (ICAP))) / 100,CPD110,CAPC-TWO-RATES,28858,"TC-CA-PER-LIMIT, TC-CA-PER-RATE-1, TC-CA-PER-RATE-2",
CAF-05,Cash advance fee,Floor and cap the fee,"The computed fee is raised to the minimum charge, or cut to the maximum charge.",IF WS-CA-PERCENT-CHARGE < TC-CA-PERCENT-MIN-CHRG ; MOVE TC-CA-PERCENT-MIN-CHRG TO WS-CA-PERCENT-CHARGE ; IF WS-CA-PERCENT-CHARGE > TC-CA-PERCENT-MAX-CHRG ; MOVE TC-CA-PERCENT-MAX-CHRG TO WS-CA-PERCENT-CHARGE,CPD110,CAPC-MIN-MAX,28866,"TC-CA-PERCENT-MIN-CHRG, TC-CA-PERCENT-MAX-CHRG","This is the classic 'x% of the advance, minimum RMn' rule."
CAF-06,Cash advance fee,Raise the fee transaction,"The fee is posted as its own transaction, into the cash bucket.",PERFORM GENERATE-BASIC-TRANS ; MOVE 3700 TO GT-TRANS-CODE GT-TRANS-TYPE ; MOVE 'CSH1' TO GT-BAL-BUCKET ; MOVE WS-CA-PERCENT-CHARGE TO GT-AMNT,CPD110,CAPC-GEN-TRANS,28873,GT-TRANS-CODE 3700,Posting to CSH1 means the fee itself then attracts cash-rate interest.
CAF-07,Cash advance fee,Cash balance used for authorisation,"Cash exposure = posted cash balance plus outstanding cash authorisations, less over-limit payments already credited.",COMPUTE ACR-CM-CASHBAL-AUTH = ; CM-CASH-BALANCE + CM-CASH-ADV-OS-AUTH - CM-OL-CASH-PYMT,CPD110,9400-CUSTOMER-CALCULATE,29108,CM-CASH-ADV-OS-AUTH,
LATE-01,Late / penalty charge,Balance the late fee is measured on,"The late-fee base is the opening (beginning) balance of the cycle, retail plus cash.",COMPUTE CM-STMT-BAL-FOR-LATE-FEE = ; CM-RTL-BEG-BALANCE + CM-CASH-BEG-BALANCE,CPD110,CARDHOLDER-PROCESSING,5841,"CM-RTL-BEG-BALANCE, CM-CASH-BEG-BALANCE",
LATE-02,Late / penalty charge,Waiver and zero-base guards,"No late charge is raised if the account or product waives it. If the base balance is zero or below, the accrued late-charge buckets are cleared.",IF WAIVE-LATE-CHARGES OR TC-WAIVE-LATE-CHRG (IBC)  GO TO LCP-XIT ; IF CM-STMT-BAL-FOR-LATE-FEE <= ZEROS ; MOVE ZEROES TO CM-ACCR-LATE-CHG-CTD CM-ACCR-LATE-CHG-BNP,CPD110,LATE-CHARGE-PROCESSING,18186,"WAIVE-LATE-CHARGES, TC-WAIVE-LATE-CHRG",
LATE-03,Late / penalty charge,Flat fee plus percentage of unpaid balance (flag 2),"A fixed charge plus a percentage of the unpaid statement balances across all retail, cash and insurance buckets.",COMPUTE WS-AMNT ROUNDED = TCM-LATE-CHARGE + ; ((CM-RTL1-BALANCE-STMT + CM-CASH1-BALANCE-STMT ; + CM-RTL2-BALANCE-STMT + CM-CASH2-BALANCE-STMT ; + CM-RTL3-BALANCE-STMT + CM-RTL-INSUR-BNP) * TCM-LC-PERCENT),CPD110,LATE-CHARGE-PROCESSING,18219,"TCF-LATE-CHARGE-FLAG=2, TCM-LATE-CHARGE, TCM-LC-PERCENT",
LATE-04,Late / penalty charge,Flat fee only (flag 0 or 5),"A single fixed late charge, regardless of balance.",IF TCF-LATE-CHARGE-FLAG IS EQUAL TO 0 OR 5 ; COMPUTE WS-AMNT ROUNDED = TCM-LATE-CHARGE,CPD110,LATE-CHARGE-PROCESSING,18225,"TCF-LATE-CHARGE-FLAG=0/5, TCM-LATE-CHARGE",
LATE-05,Late / penalty charge,Flat fee plus percentage of total unpaid,Variant that applies the percentage to a single total-unpaid figure.,COMPUTE WS-AMNT ROUNDED = ; TCM-LATE-CHARGE + (WS-TOT-UNPAID-BAL * TCM-LC-PERCENT),CPD110,LATE-CHARGE-PROCESSING,18234,"TCM-LATE-CHARGE, TCM-LC-PERCENT",
OVL-01,Over-limit,Amount over the credit limit,How far the posted balance exceeds the credit limit.,COMPUTE CPCT-AMT-OVERLIMIT = ; CM-RTL-BALANCE + CM-CASH-BALANCE - CM-CRLIMIT,CPD110,INPUT-OUTPUT-PROCESSING,23780,CM-CRLIMIT,
OVL-02,Over-limit,Over-limit amount added to amount due,Any new over-limit excess not already demanded is added to the over-limit amount due.,COMPUTE WS-AMNT = (CM-CURR-BALANCE - CM-CRLIMIT) - CM-OL-AMT-DUE ; COMPUTE CM-OL-AMT-DUE = CM-OL-AMT-DUE + WS-AMNT,CPD110,STATEMENT-PREPARATION,16260,CM-OL-AMT-DUE,
LMT-01,Credit limit & availability,Cash limit derived from credit limit,The cash limit is a set percentage of the overall credit limit.,COMPUTE CM-CASH-LIMIT ROUNDED = TCM-CASH-LIMIT-PERCENT * CM-CRLIMIT,CPD110,CARDHOLDER-PROCESSING,7349,"TCM-CASH-LIMIT-PERCENT, CM-CRLIMIT",
LMT-02,Credit limit & availability,Instalment limit derived from credit limit,The instalment limit is a set percentage of the overall credit limit.,COMPUTE CM-INSTL-LIMIT ROUNDED = TCM-INSTL-LIMIT-PERCENT * CM-CRLIMIT,CPD110,CARDHOLDER-PROCESSING,7351,"TCM-INSTL-LIMIT-PERCENT, CM-CRLIMIT",
LMT-03,Credit limit & availability,Available credit,"Limit (grossed up by the permitted over-limit factor) less what is used, less outstanding authorisations, plus over-limit payments received.",COMPUTE CM-AVAIL-CREDIT ROUNDED = ; (CM-CRLIMIT * TCM-OVER-LIMIT) - CM-CURR-BALANCE ; - CM-AMNT-OUTST-AUTH + CM-OL-CASH-PYMT + CM-OL-RTL-PYMT,CPD110,CARDHOLDER-PROCESSING,7404,"TCM-OVER-LIMIT, CM-AMNT-OUTST-AUTH","TCM-OVER-LIMIT is a multiplier (e.g. 1.10 for a 10% tolerance), not an amount."
LMT-04,Credit limit & availability,Available cash,"Cash limit grossed up by the over-limit factor, less cash balance and outstanding cash authorisations.",COMPUTE CM-AVAIL-CASH ROUNDED = ; CM-CASH-LIMIT * TCM-OVER-LIMIT - CM-CASH-BALANCE ; - CM-CASH-ADV-OS-AUTH + CM-OL-CASH-PYMT,CPD110,CARDHOLDER-PROCESSING,7375,"TCM-OVER-LIMIT, CM-CASH-ADV-OS-AUTH",
LMT-05,Credit limit & availability,Available instalment limit,Instalment limit less instalment balance and outstanding instalment authorisations.,COMPUTE CM-AVAIL-INSTL ROUNDED = ; CM-INSTL-LIMIT - CM-INSTL-BAL - CM-AMNT-OUTST-INSTL,CPD110,CARDHOLDER-PROCESSING,7384,"CM-INSTL-BAL, CM-AMNT-OUTST-INSTL",
LMT-06,Credit limit & availability,Instalment balance reserved against available credit,Only a configured share of the instalment balance is held back from the main available credit.,COMPUTE CM-AVAIL-CREDIT = ; CM-AVAIL-CREDIT - (TC-INSTL-EM-AVL-PER * CM-INSTL-BAL),CPD110,CARDHOLDER-PROCESSING,7411,TC-INSTL-EM-AVL-PER,
LMT-07,Credit limit & availability,Available credit net of accrued interest,Unbilled accrued interest is deducted from available credit so the customer cannot spend it.,COMPUTE CM-AVAIL-CREDIT ROUNDED = (WS-AMNT ; - CM-RTL-ACCRUED-INTR - CM-RTL2-ACCRUED-INTR - CM-RTL3-ACCRUED-INTR ; - CM-CASH-ACCRUED-INTR - CM-CASH2-ACCRUED-INTR),CPD110,CARDHOLDER-PROCESSING,7396,CM-*-ACCRUED-INTR,
LMT-08,Credit limit & availability,Credit limit utilisation,"Debits as a proportion of the credit limit, scaled to one decimal place of a percentage.",COMPUTE WS-CREDIT-LIMIT-USG = (WS-USER-AMT-DEBITS / CM-CRLIMIT) * 1000 ; COMPUTE CESF01-CRLIMIT-USG-TODAY = WS-CREDIT-LIMIT-USG / 10,CPD110,CARDHOLDER-PROCESSING,6014,"WS-USER-AMT-DEBITS, CM-CRLIMIT",x1000 then /10 preserves one decimal in integer arithmetic.
MIN-01,Minimum payment / amount due,Bill the whole balance,"Where the product bills in full, the amount due is simply the current balance.",IF BILL-TOTAL-BALANCE  MOVE CM-CURR-BALANCE TO WS-PYMT,CPD110,COMPUTE-CURR-PYMT,28297,BILL-TOTAL-BALANCE,Charge cards and some corporate products use this.
MIN-02,Minimum payment / amount due,Bill a fixed amount,A pre-set fixed instalment is billed instead of a percentage.,IF BILL-FIXED-AMNT AND CM-FIXED-PYMT-AMNT > ZERO ; MOVE CM-FIXED-PYMT-AMNT TO WS-PYMT,CPD110,COMPUTE-CURR-PYMT,28308,CM-FIXED-PYMT-AMNT,
MIN-03,Minimum payment / amount due,Derive the fixed amount from principal,"The fixed payment is a percentage of principal, where principal excludes disputed balances and billed charges.",COMPUTE WS-PRINCIPAL-AMOUNT EQUAL CM-CURR-BALANCE ; - CM-CASH-DISPUTED-BAL - CM-RTL-DISPUTED-BAL - WS-PRINCIPAL-CHARGES ; COMPUTE CM-FIXED-PYMT-AMNT ROUNDED EQUAL ; WS-PRINCIPAL-AMOUNT * TCP-PERCENT (ITCP),CPD110,SET-NEW-FIXED-PYMT,16543,TCP-PERCENT,"TCP-PERCENT is picked from a table band (ITCP) — high balance, reducing, or new-debit method."
MIN-04,Minimum payment / amount due,Interest-only billing,Only interest held plus charges and billed interest fees are demanded.,COMPUTE WS-PYMT = WS-RTL-ACCR-HOLD + WS-CASH-ACCR-HOLD ; + WS-RTL-CHRG + WS-CASH-CHRG + WS-BILL-INTR-FEES,CPD110,COMPUTE-CURR-PYMT,28314,BILL-INTEREST-ONLY,
MIN-05,Minimum payment / amount due,Split into bill-in-full and revolving parts,"Balances are split: WS-PYMT1 is billed in full (fees, instalment due), WS-PYMT2 is the revolving remainder.",MOVE ZEROES TO WS-PYMT1 WS-PYMT2 ; PERFORM BAL-BUCKET-BILL-FULL ; ADD CM-CTD-IPP-BALANCE TO WS-PYMT1 ; SUBTRACT CM-CTD-IPP-BALANCE FROM WS-PYMT2 ; SUBTRACT CM-PCB-IPP-BALANCE FROM WS-PYMT2,CPD110,COMPUTE-CURR-PYMT,28325,"CM-CTD-IPP-BALANCE, CM-PCB-IPP-BALANCE",IPP = instalment payment plan; its current due is always billed in full.
MIN-06,Minimum payment / amount due,Revolving part — divisor method,"Where the derive method is zero, the revolving part is divided by the payment term.",IF TCM-DERIVE-METHOD = ZERO ; COMPUTE WS-PYMT ROUNDED = WS-PYMT1 + WS-PYMT2 / TCM-PAYMENT-TERM,CPD110,COMPUTE-CURR-PYMT,28335,"TCM-DERIVE-METHOD=0, TCM-PAYMENT-TERM",E.g. a term of 20 bills 1/20th = 5% of the revolving balance.
MIN-07,Minimum payment / amount due,Revolving part — percentage method,Otherwise the revolving part is multiplied by the payment term treated as a percentage.,ELSE ; COMPUTE WS-PYMT ROUNDED = ; WS-PYMT1 + WS-PYMT2 * TCM-PAYMENT-TERM / 100,CPD110,COMPUTE-CURR-PYMT,28341,"TCM-DERIVE-METHOD<>0, TCM-PAYMENT-TERM",E.g. a term of 5 bills 5% of the revolving balance.
MIN-08,Minimum payment / amount due,Negative revolving part,If the revolving remainder is negative it is added as-is rather than being scaled.,IF WS-PYMT2 < ZERO ; COMPUTE WS-PYMT = WS-PYMT1 + WS-PYMT2,CPD110,COMPUTE-CURR-PYMT,28331,WS-PYMT2,
MIN-09,Minimum payment / amount due,Bill the whole balance when no term is set,A zero payment term with a zero derive method means the full balance is demanded.,IF TCM-PAYMENT-TERM = ZERO AND TCM-DERIVE-METHOD = ZERO ; MOVE CM-CURR-BALANCE TO WS-PYMT,CPD110,COMPUTE-CURR-PYMT,28322,"TCM-PAYMENT-TERM, TCM-DERIVE-METHOD",
MIN-10,Minimum payment / amount due,Apply the minimum payment floor,"If the computed amount is below the product minimum, the minimum is used — unless the balance is under the threshold, or the card is interest-only, budget or fixed-term-loan.",IF BILL-INTEREST-ONLY OR CM-CURR-BALANCE NOT > TCM-PYMT-THRESHOLD ; NEXT SENTENCE ; ELSE IF (WS-PYMT < TCM-MINIMUM-PYMT) ; AND NOT BUDGET-CARD AND NOT FIXED-TERM-LOAN-CARD ; MOVE TCM-MINIMUM-PYMT TO WS-PYMT,CPD110,COMPUTE-CURR-PYMT,28349,"TCM-MINIMUM-PYMT, TCM-PYMT-THRESHOLD","This is the 'or RMn, whichever is higher' clause on a statement."
MIN-11,Minimum payment / amount due,Round up to whole currency units,"Where the product bills in even dollars, .99 is added and the result truncated — i.e. rounded up.",IF BILL-EVEN-DOLLARS ; ADD .99 TO WS-PYMT ; MOVE WS-PYMT TO WS-DOLLARS ; MOVE WS-DOLLARS TO WS-PYMT,CPD110,COMPUTE-CURR-PYMT,28356,BILL-EVEN-DOLLARS,"WS-DOLLARS has no decimal places, so the MOVE truncates."
MIN-12,Minimum payment / amount due,Add the full over-limit excess,"If the balance is over the limit and the product demands all of it, the whole excess is added on top of the minimum.",IF CM-CURR-BALANCE > CM-CRLIMIT AND BILL-ALL-OVER-LIMIT ; COMPUTE WS-PYMT = WS-PYMT + (CM-CURR-BALANCE - CM-CRLIMIT),CPD110,COMPUTE-CURR-PYMT,28365,BILL-ALL-OVER-LIMIT,
SVC-01,Service & transaction charges,Tiered per-transaction charge,"Transactions up to the free/banded limit are charged at rate 1, the rest at rate 2.",IF TCSC-LIMIT (ISC) > ZERO AND WS-COUNT > TCSC-LIMIT (ISC) ; COMPUTE WS-CHRG = ; (TCSC-LIMIT (ISC) * TCSC-RATE-1 (ISC)) ; + ((WS-COUNT - TCSC-LIMIT (ISC)) * TCSC-RATE-2 (ISC)),CPD110,CALCULATE-TRANS-CHRG,15540,"TCSC-LIMIT, TCSC-RATE-1, TCSC-RATE-2","WS-COUNT is the transaction count for the bucket, not an amount."
SVC-02,Service & transaction charges,Flat per-transaction charge,"With no band, every transaction is charged at rate 1.",COMPUTE WS-CHRG = WS-COUNT * TCSC-RATE-1 (ISC),CPD110,CALCULATE-TRANS-CHRG,15551,TCSC-RATE-1,
SVC-03,Service & transaction charges,Split the charge to retail or cash,The charge lands in the retail or the cash bucket depending on the service-charge type.,IF TSC-RETAIL (ISC)  ADD WS-CHRG TO WS-RTL-CHRG ; ELSE  ADD WS-CHRG TO WS-CASH-CHRG,CPD110,CALCULATE-TRANS-CHRG,15556,TSC-RETAIL,
SVC-04,Service & transaction charges,Cap the total service charge,"Retail and cash charges are totalled; if the total breaches the maximum, the bucket currently being processed is cut back so that the two together equal the cap.",COMPUTE WS-AMNT = WS-RTL-CHRG + WS-CASH-CHRG ; IF (WS-AMNT > TCSC-MAXIMUM) ; IF (TSC-RETAIL (ISC)) ; COMPUTE WS-RTL-CHRG = TCSC-MAXIMUM - WS-CASH-CHRG ; ELSE ; COMPUTE WS-CASH-CHRG = TCSC-MAXIMUM - WS-RTL-CHRG,CPD110,CALCULATE-TRANS-CHRG,15560,"TCSC-MAXIMUM, TSC-RETAIL","The cap is on the combined charge, not per bucket. WS-MAX-TR-SW is set to flag that the cap was hit."
BAL-01,Balances & statement,Current balance,"Retail plus cash balances, less amounts under dispute.",COMPUTE CM-CURR-BALANCE = CM-RTL-BALANCE + CM-CASH-BALANCE ; - CM-RTL-DISPUTED-BAL - CM-CASH-DISPUTED-BAL,CPD110,COMPUTE-CURR-BAL,28272,"CM-RTL-BALANCE, CM-CASH-BALANCE",Disputed amounts are excluded from the balance the customer is asked to pay.
BAL-02,Balances & statement,Current balance (pre-dispute form),A simple retail plus cash total used earlier in the cycle.,COMPUTE CM-CURR-BALANCE = CM-CASH-BALANCE + CM-RTL-BALANCE,CPD110,PA-BYPASS-MEM-USAGE-FEE,5679,"CM-CASH-BALANCE, CM-RTL-BALANCE",
BAL-03,Balances & statement,Retail balance across sub-buckets,The three retail sub-buckets are summed into the retail total.,COMPUTE CM-RTL-CURR-MON-BAL = CM-RTL1-CURR-MON-BAL ; + CM-RTL2-CURR-MON-BAL + CM-RTL3-CURR-MON-BAL,CPD110,(statement build),27284,CM-RTL1/2/3-CURR-MON-BAL,"Sub-buckets carry different interest rates, which is why they are held apart."
BAL-04,Balances & statement,Statement balance excludes billed-not-posted items,"The statement balance is the ledger balance less interest, service, misc, insurance and membership amounts that are billed but not yet posted.",COMPUTE CM-RTL1-BALANCE-STMT = CM-RTL1-BALANCE ; - (CM-RTL-IBNP + CM-RTL-SVC-BNP + CM-RTL-MISC-FEES ; + CM-RTL-INSUR-BNP + CM-RTL-MEMBER-BNP + CM-RTL1-FEE),CPD110,RESET-ACCOUNT,16597,"CM-RTL-IBNP, CM-RTL-SVC-BNP",BNP = billed not posted. IBNP = interest billed not posted.
